scada_id;node_id;value_date;value
1080-T1;1080;01/05/2015;300,98
1080-T1;1080;02/05/2015;300,98
1080-T1;1080;03/05/2015;300,98
1080-T1;1080;04/05/2015;300,98
1080-T1;1080;05/05/2015;300,98
1080-T1;1080;06/05/2015;300,98
1080-T1;1080;07/05/2015;348,45
1080-T1;1080;08/05/2015;378,75
1080-T1;1080;09/05/2015;359,56
1080-T1;1080;10/05/2015;348,45
1080-T1;1080;11/05/2015;349,46
1080-T1;1080;12/05/2015;348,45
1080-T1;1080;13/05/2015;325,22
1080-T1;1080;14/05/2015;278,76
1080-T1;1080;15/05/2015;299,97
1080-T1;1080;16/05/2015;349,46
1080-T1;1080;17/05/2015;325,22
1080-T1;1080;18/05/2015;316,13
1080-T1;1080;19/05/2015;349,46
1080-T1;1080;20/05/2015;350,47
1080-T1;1080;21/05/2015;248,46
1080-T1;1080;22/05/2015;348,45
1080-T1;1080;23/05/2015;249,47
1080-T1;1080;24/05/2015;351,48
1080-T1;1080;25/05/2015;350,47
1080-T1;1080;26/05/2015;349,46
1080-T1;1080;27/05/2015;351,48
1080-T1;1080;28/05/2015;249,47
1080-T1;1080;29/05/2015;250,48
1080-T1;1080;30/05/2015;249,47
1080-T1;1080;31/05/2015;349,46
1080-T1;1080;01/06/2015;307,04
1080-T1;1080;02/06/2015;311,84
1080-T1;1080;03/06/2015;310,88
1080-T1;1080;04/06/2015;337,74
1080-T1;1080;05/06/2015;327,19
1080-T1;1080;06/06/2015;327,19
1080-T1;1080;07/06/2015;331,03
1080-T1;1080;08/06/2015;359,81
1080-T1;1080;09/06/2015;341,58
1080-T1;1080;10/06/2015;331,03
1080-T1;1080;11/06/2015;331,99
1080-T1;1080;12/06/2015;331,03
1080-T1;1080;13/06/2015;308,96
1080-T1;1080;14/06/2015;264,82
1080-T1;1080;15/06/2015;284,97
1080-T1;1080;16/06/2015;331,99
1080-T1;1080;17/06/2015;308,96
1080-T1;1080;18/06/2015;300,32
1080-T1;1080;19/06/2015;331,99
1080-T1;1080;20/06/2015;332,95
1080-T1;1080;21/06/2015;236,04
1080-T1;1080;22/06/2015;331,03
1080-T1;1080;23/06/2015;332,95
1080-T1;1080;24/06/2015;333,91
1080-T1;1080;25/06/2015;332,95
1080-T1;1080;26/06/2015;322,53
1080-T1;1080;27/06/2015;333,91
1080-T1;1080;28/06/2015;332,95
1080-T1;1080;29/06/2015;333,91
1080-T1;1080;30/06/2015;332,95
1080-T1;1080;01/07/2015;349,46
1080-T1;1080;02/07/2015;323,2
1080-T1;1080;03/07/2015;227,25
1080-T1;1080;04/07/2015;226,24
1080-T1;1080;05/07/2015;254,52
1080-T1;1080;06/07/2015;344,41
1080-T1;1080;07/07/2015;344,41
1080-T1;1080;08/07/2015;348,45
1080-T1;1080;09/07/2015;378,75
1080-T1;1080;10/07/2015;359,56
1080-T1;1080;11/07/2015;348,45
