;
; stationId, year, moth, day, hour, minute, value (coma or tab separated)
;-------------------------------------------------------------------------------

00001	2017 01 01 00 00	0.00
00001	2017 01 01 00 05	1.01
00001	2017 01 01 00 10	3.05
00001	2017 01 01 00 15	5.06
00001	2017 01 01 00 20	5.07
00001	2017 01 01 00 25	2.06
00001	2017 01 01 00 30	1.05

00002	2017 01 01 00 00	0.00
00002	2017 01 01 00 05	10.01
00002	2017 01 01 00 10	30.05
00002	2017 01 01 00 15	50.06
00002	2017 01 01 00 20	50.07
00002	2017 01 01 00 25	20.06
00002	2017 01 01 00 30	1.05
