;Flows for Selected Conduits			
;Conduit Days Time Flow			
;-----------------------------			
100012			

	02/01/2017	00:05:00	0
	02/01/2017	00:10:00	0
	02/01/2017	00:15:00	0.147
	02/01/2017	00:20:00	1.721
	02/01/2017	00:25:00	2.896
	02/01/2017	00:30:00	8.846
	02/01/2017	00:35:00	8.367
	02/01/2017	00:40:00	5.775
	02/01/2017	00:45:00	3.4
	02/01/2017	00:50:00	2.541
	02/01/2017	00:55:00	2.063
	02/01/2017	01:00:00	1.764
	02/01/2017	01:05:00	1.156
	02/01/2017	01:10:00	0.525
	02/01/2017	01:15:00	0.264
	02/01/2017	01:20:00	0.152
	02/01/2017	01:25:00	0.095
	02/01/2017	01:30:00	0.065
	02/01/2017	01:35:00	0.048
	02/01/2017	01:40:00	0.037
	02/01/2017	01:45:00	0.029
	02/01/2017	01:50:00	0.024
	02/01/2017	01:55:00	0.02
	02/01/2017	02:00:00	0.017
	02/01/2017	02:05:00	0.015
	02/01/2017	02:10:00	0.013
	02/01/2017	02:15:00	0.012
	02/01/2017	02:20:00	0.011
	02/01/2017	02:25:00	0.01
	02/01/2017	02:30:00	0.009
	02/01/2017	02:35:00	0.009
	02/01/2017	02:40:00	0.008
	02/01/2017	02:45:00	0.008
	02/01/2017	02:50:00	0.007
	02/01/2017	02:55:00	0.007
	02/01/2017	03:00:00	0.007
